nappy rig log  2026-09-13T12:34:06  version v0.9.1-6-ge85eb99f-dirty

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 0]
   0.0  plan     closed: roadworks h(1,9)
   0.0  plan     calm: 1 forest, 2 courtyard, 2 quiet_square, 3 park
   0.0  plan     events: alley_mouse x4, burst_water_main x17, cafe_tables x56, car_accident x26, cat_dash x8, chatting_mother x2, delivery_van x69, dog_walker x22, homeless_yeller x8, leaf_blower x15, loose_dog x11, market_stall x52, moving_van x42, pigeon_flock x5, playground x3, scaffolding x23, skip x20
   0.0  start    doorstep (80,84), facing 180°
   0.6  cross    stepped into the road at (80,86), mid-block
   1.0  frame    fps 32, worst frame 150.0ms, draws 921, objects 3717, primitives 8060, process 32.20ms, physics 2.77ms
   2.0  frame    fps 60, worst frame 16.7ms, draws 711, objects 3468, primitives 7394, process 20.44ms, physics 2.37ms
   2.7  blocked  pressed 180° for 1.0s at (80,89) without moving
   3.0  frame    fps 60, worst frame 16.7ms, draws 940, objects 3863, primitives 8214, process 18.70ms, physics 2.41ms
   4.0  frame    fps 60, worst frame 16.7ms, draws 644, objects 3394, primitives 7300, process 15.45ms, physics 3.85ms
   4.5  path     onto the corridor at (84,89), after 4.5s off it
   5.0  frame    fps 60, worst frame 16.7ms, draws 758, objects 3587, primitives 7659, process 18.35ms, physics 2.34ms
   5.2  cross    stepped into the road at (86,89), at a signalled crossing
   5.3  crowd    a car sounded its horn at her in the road at (86,89) | exc 2, in 3.2/s (crowd 3.2, events 0.0), sleep 2
   5.7  crowd    a car sounded its horn at her in the road at (87,89) | exc 7, in 24.9/s (crowd 24.9, events 0.0), sleep 2
   5.9  cue      the mark over her head: soon for 0.6s (0.6s of it on the road) | a car, and she is in the road
   6.0  frame    fps 60, worst frame 16.7ms, draws 863, objects 3699, primitives 7958, process 20.17ms, physics 3.01ms
   7.0  frame    fps 60, worst frame 16.7ms, draws 704, objects 3432, primitives 7451, process 17.47ms, physics 2.70ms
   8.0  frame    fps 60, worst frame 16.7ms, draws 653, objects 3335, primitives 7260, process 19.40ms, physics 2.54ms
   9.0  frame    fps 60, worst frame 16.7ms, draws 642, objects 3326, primitives 7161, process 19.17ms, physics 2.48ms
   9.5  near     leaf_blower at (104,89), 200px, exc 16, in 0.0/s (crowd 0.0, events 0.0), sleep 4
  10.0  frame    fps 60, worst frame 16.7ms, draws 604, objects 3299, primitives 6786, process 18.42ms, physics 2.45ms
  10.1  cross    stepped into the road at (100,89), at a zebra
  10.5  near     leaf_blower at (104,89), 109px, exc 19, in 14.8/s (crowd 0.0, events 14.7), sleep 4
  10.8  path     off the corridor at (102,89), after 6.3s on it
  10.8  near     cafe_tables at (103,91), 63px, exc 22, in 14.2/s (crowd 0.0, events 14.1), sleep 5
  11.0  frame    fps 61, worst frame 16.7ms, draws 706, objects 3521, primitives 7206, process 16.29ms, physics 2.41ms
  11.0  near     leaf_blower at (104,89), 59px, exc 24, in 14.1/s (crowd 0.0, events 13.9), sleep 5
  11.4  near     leaf_blower at (104,89), 31px, exc 26, in 8.5/s (crowd 0.0, events 8.4), sleep 5
  11.5  near     delivery_van at (108,88), 149px, exc 26, in 7.7/s (crowd 0.0, events 7.5), sleep 5
  12.0  frame    fps 60, worst frame 16.7ms, draws 682, objects 3473, primitives 7110, process 18.88ms, physics 2.62ms
  12.6  blocked  pressed 90° for 1.0s at (104,89) without moving
  13.0  frame    fps 60, worst frame 16.7ms, draws 685, objects 3478, primitives 7144, process 18.13ms, physics 2.37ms
  13.7  freeze   sleep stopped filling | exc 35, in 19.3/s (crowd 0.0, events 19.4), sleep 6 | near: leaf_blower 25px
  14.1  frame    fps 60, worst frame 16.7ms, draws 686, objects 3529, primitives 7246, process 16.08ms, physics 2.50ms
  15.1  frame    fps 60, worst frame 16.7ms, draws 689, objects 3530, primitives 7272, process 18.12ms, physics 2.37ms
  15.6  blocked  pressed 90° for 4.0s at (104,89) without moving
  16.1  frame    fps 60, worst frame 16.7ms, draws 689, objects 3528, primitives 7271, process 18.65ms, physics 2.51ms
  17.1  frame    fps 60, worst frame 17.3ms, draws 689, objects 3530, primitives 7275, process 16.89ms, physics 2.60ms
  18.1  frame    fps 60, worst frame 16.7ms, draws 686, objects 3529, primitives 7246, process 20.32ms, physics 2.75ms
  18.6  blocked  pressed 90° for 7.0s at (104,89) without moving
  19.1  frame    fps 60, worst frame 16.7ms, draws 683, objects 3524, primitives 7212, process 18.30ms, physics 2.71ms
  20.1  frame    fps 60, worst frame 76.1ms, draws 683, objects 3522, primitives 7211, process 18.36ms, physics 2.36ms
