nappy rig log  2026-09-13T12:37:18  version v0.9.1-6-ge85eb99f-dirty

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 0]
   0.0  plan     closed: roadworks h(1,9)
   0.0  plan     calm: 1 forest, 2 courtyard, 2 quiet_square, 3 park
   0.0  plan     events: alley_mouse x4, burst_water_main x17, cafe_tables x56, car_accident x26, cat_dash x8, chatting_mother x2, delivery_van x69, dog_walker x22, homeless_yeller x8, leaf_blower x15, loose_dog x11, market_stall x52, moving_van x42, pigeon_flock x5, playground x3, scaffolding x23, skip x20
   0.0  start    doorstep (80,84), facing 180°
   0.6  cross    stepped into the road at (80,86), mid-block
   1.0  frame    fps 17, worst frame 148.0ms, draws 921, objects 3717, primitives 8060, process 28.59ms, physics 2.25ms
   2.0  frame    fps 68, worst frame 17.3ms, draws 711, objects 3468, primitives 7394, process 17.05ms, physics 2.08ms
   2.8  blocked  pressed 180° for 1.0s at (80,89) without moving
   3.0  frame    fps 70, worst frame 19.2ms, draws 940, objects 3863, primitives 8214, process 19.89ms, physics 2.33ms
   4.0  frame    fps 67, worst frame 16.7ms, draws 644, objects 3394, primitives 7300, process 17.37ms, physics 2.77ms
   4.5  path     onto the corridor at (84,89), after 4.5s off it
   5.0  frame    fps 75, worst frame 16.7ms, draws 758, objects 3587, primitives 7659, process 16.95ms, physics 2.08ms
   5.2  cross    stepped into the road at (86,89), at a signalled crossing
   5.2  crowd    a car sounded its horn at her in the road at (86,89) | exc 2, in 3.2/s (crowd 3.2, events 0.0), sleep 2
   5.7  crowd    a car sounded its horn at her in the road at (87,89) | exc 7, in 25.2/s (crowd 25.2, events 0.0), sleep 2
   5.9  cue      the mark over her head: soon for 0.6s (0.6s of it on the road) | a car, and she is in the road
   6.0  frame    fps 67, worst frame 20.0ms, draws 860, objects 3696, primitives 7928, process 15.94ms, physics 2.41ms
   7.0  frame    fps 61, worst frame 16.7ms, draws 705, objects 3389, primitives 7389, process 18.20ms, physics 2.39ms
   8.0  frame    fps 65, worst frame 16.7ms, draws 653, objects 3335, primitives 7260, process 16.88ms, physics 2.22ms
   9.0  frame    fps 73, worst frame 14.8ms, draws 636, objects 3320, primitives 7095, process 16.64ms, physics 2.20ms
   9.5  near     leaf_blower at (104,89), 200px, exc 16, in 0.0/s (crowd 0.0, events 0.0), sleep 4
  10.1  cross    stepped into the road at (100,89), at a zebra
  10.1  frame    fps 77, worst frame 18.0ms, draws 604, objects 3299, primitives 6786, process 15.44ms, physics 2.08ms
  10.5  near     leaf_blower at (104,89), 109px, exc 19, in 14.9/s (crowd 0.0, events 14.8), sleep 4
  10.8  path     off the corridor at (102,89), after 6.3s on it
  10.8  near     cafe_tables at (103,91), 63px, exc 22, in 14.4/s (crowd 0.0, events 14.2), sleep 5
  11.0  near     leaf_blower at (104,89), 59px, exc 24, in 14.4/s (crowd 0.0, events 14.2), sleep 5
  11.1  frame    fps 70, worst frame 16.7ms, draws 706, objects 3523, primitives 7210, process 19.67ms, physics 2.34ms
  11.4  near     leaf_blower at (104,89), 31px, exc 26, in 8.7/s (crowd 0.0, events 8.5), sleep 5
  11.4  near     delivery_van at (108,88), 149px, exc 26, in 7.8/s (crowd 0.0, events 7.7), sleep 5
  12.1  frame    fps 74, worst frame 16.1ms, draws 682, objects 3473, primitives 7110, process 16.94ms, physics 2.20ms
  12.6  blocked  pressed 90° for 1.0s at (104,89) without moving
  13.1  frame    fps 77, worst frame 16.2ms, draws 685, objects 3478, primitives 7144, process 14.88ms, physics 2.28ms
  13.7  freeze   sleep stopped filling | exc 35, in 19.3/s (crowd 0.0, events 19.4), sleep 6 | near: leaf_blower 25px
  14.1  frame    fps 78, worst frame 15.7ms, draws 686, objects 3529, primitives 7246, process 16.32ms, physics 2.14ms
  15.1  frame    fps 79, worst frame 17.0ms, draws 689, objects 3530, primitives 7272, process 16.26ms, physics 2.29ms
  15.6  blocked  pressed 90° for 4.0s at (104,89) without moving
  16.1  frame    fps 68, worst frame 20.7ms, draws 689, objects 3528, primitives 7271, process 19.08ms, physics 2.52ms
  17.1  frame    fps 66, worst frame 16.7ms, draws 689, objects 3530, primitives 7275, process 16.82ms, physics 2.47ms
  18.1  frame    fps 74, worst frame 15.9ms, draws 686, objects 3529, primitives 7246, process 16.12ms, physics 2.16ms
  18.6  blocked  pressed 90° for 7.0s at (104,89) without moving
  19.1  frame    fps 78, worst frame 15.5ms, draws 683, objects 3524, primitives 7212, process 16.34ms, physics 2.03ms
