nappy rig log  2026-09-13T12:35:18  version v0.9.1-6-ge85eb99f-dirty

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 0]
   0.0  plan     closed: roadworks h(1,9)
   0.0  plan     calm: 1 forest, 2 courtyard, 2 quiet_square, 3 park
   0.0  plan     events: alley_mouse x4, burst_water_main x17, cafe_tables x56, car_accident x26, cat_dash x8, chatting_mother x2, delivery_van x69, dog_walker x22, homeless_yeller x8, leaf_blower x15, loose_dog x11, market_stall x52, moving_van x42, pigeon_flock x5, playground x3, scaffolding x23, skip x20
   0.0  start    doorstep (80,84), facing 180°
   0.6  cross    stepped into the road at (80,86), mid-block
   1.0  frame    fps 33, worst frame 150.0ms, draws 792, objects 1850, primitives 4456, process 26.25ms, physics 2.25ms
   2.0  frame    fps 89, worst frame 14.1ms, draws 582, objects 1601, primitives 3790, process 15.49ms, physics 2.02ms
   2.7  blocked  pressed 180° for 1.0s at (80,89) without moving
   3.0  frame    fps 93, worst frame 16.9ms, draws 817, objects 2048, primitives 4710, process 14.74ms, physics 2.12ms
   4.0  frame    fps 89, worst frame 15.4ms, draws 515, objects 1527, primitives 3696, process 15.53ms, physics 2.59ms
   4.5  path     onto the corridor at (84,89), after 4.5s off it
   5.0  frame    fps 97, worst frame 15.1ms, draws 633, objects 1748, primitives 4108, process 14.98ms, physics 1.99ms
   5.2  cross    stepped into the road at (86,89), at a signalled crossing
   5.2  crowd    a car sounded its horn at her in the road at (86,89) | exc 2, in 3.1/s (crowd 3.1, events 0.0), sleep 2
   5.8  crowd    a car sounded its horn at her in the road at (87,89) | exc 8, in 26.4/s (crowd 26.4, events 0.0), sleep 2
   5.9  cue      the mark over her head: soon for 0.6s (0.6s of it on the road) | a car, and she is in the road
   6.0  frame    fps 82, worst frame 17.8ms, draws 735, objects 1855, primitives 4373, process 16.04ms, physics 2.31ms
   7.0  frame    fps 78, worst frame 16.7ms, draws 579, objects 1525, primitives 3818, process 15.16ms, physics 2.35ms
   8.0  frame    fps 86, worst frame 16.7ms, draws 527, objects 1471, primitives 3686, process 15.91ms, physics 2.24ms
   9.0  frame    fps 101, worst frame 14.4ms, draws 510, objects 1458, primitives 3525, process 16.05ms, physics 2.13ms
   9.5  near     leaf_blower at (104,89), 200px, exc 16, in 4.4/s (crowd 4.4, events 0.0), sleep 4
  10.0  cross    stepped into the road at (100,89), at a zebra
  10.0  frame    fps 94, worst frame 17.5ms, draws 505, objects 1462, primitives 3293, process 14.66ms, physics 2.11ms
  10.5  near     leaf_blower at (104,89), 109px, exc 22, in 14.8/s (crowd 0.0, events 14.8), sleep 4
  10.8  path     off the corridor at (102,89), after 6.3s on it
  10.8  near     cafe_tables at (103,91), 63px, exc 25, in 14.3/s (crowd 0.0, events 14.2), sleep 5
  11.0  near     leaf_blower at (104,89), 59px, exc 27, in 14.3/s (crowd 0.0, events 14.1), sleep 5
  11.1  frame    fps 90, worst frame 16.6ms, draws 583, objects 1662, primitives 3669, process 15.68ms, physics 2.16ms
  11.4  near     leaf_blower at (104,89), 31px, exc 29, in 8.7/s (crowd 0.0, events 8.6), sleep 5
  11.4  near     delivery_van at (108,88), 149px, exc 29, in 7.8/s (crowd 0.0, events 7.7), sleep 5
  12.1  frame    fps 95, worst frame 12.8ms, draws 556, objects 1609, primitives 3536, process 14.59ms, physics 2.22ms
  12.6  blocked  pressed 90° for 1.0s at (104,89) without moving
  13.1  frame    fps 100, worst frame 14.8ms, draws 559, objects 1616, primitives 3574, process 15.35ms, physics 1.95ms
  13.5  freeze   sleep stopped filling | exc 35, in 17.8/s (crowd 0.0, events 17.9), sleep 6 | near: leaf_blower 25px
  14.1  frame    fps 97, worst frame 15.6ms, draws 560, objects 1665, primitives 3672, process 15.22ms, physics 2.08ms
  15.1  frame    fps 103, worst frame 14.4ms, draws 563, objects 1668, primitives 3702, process 16.29ms, physics 2.03ms
  15.6  blocked  pressed 90° for 4.0s at (104,89) without moving
  16.1  frame    fps 100, worst frame 14.7ms, draws 563, objects 1666, primitives 3701, process 14.39ms, physics 1.96ms
  17.1  frame    fps 100, worst frame 16.4ms, draws 563, objects 1668, primitives 3705, process 14.74ms, physics 2.27ms
  18.1  frame    fps 94, worst frame 14.2ms, draws 560, objects 1665, primitives 3672, process 15.06ms, physics 2.08ms
  18.6  blocked  pressed 90° for 7.0s at (104,89) without moving
  19.1  frame    fps 94, worst frame 17.8ms, draws 557, objects 1660, primitives 3638, process 15.96ms, physics 2.27ms
