nappy rig log  2026-09-13T12:38:05  version v0.9.1-6-ge85eb99f-dirty

day 1  act 1  run seed 3265820891  city seed 3265820891  length 180.0s
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 0]
   0.0  plan     closed: roadworks h(1,9)
   0.0  plan     calm: 1 forest, 2 courtyard, 2 quiet_square, 3 park
   0.0  plan     events: alley_mouse x4, burst_water_main x17, cafe_tables x56, car_accident x26, cat_dash x8, chatting_mother x2, delivery_van x69, dog_walker x22, homeless_yeller x8, leaf_blower x15, loose_dog x11, market_stall x52, moving_van x42, pigeon_flock x5, playground x3, scaffolding x23, skip x20
   0.0  start    doorstep (80,84), facing 180°
   0.6  cross    stepped into the road at (80,86), mid-block
   1.0  frame    fps 1, worst frame 150.0ms, draws 792, objects 1848, primitives 4452, process 22.94ms, physics 1.62ms
   2.0  frame    fps 95, worst frame 14.9ms, draws 582, objects 1601, primitives 3790, process 15.20ms, physics 1.83ms
   2.7  blocked  pressed 180° for 1.0s at (80,89) without moving
   3.0  frame    fps 115, worst frame 13.6ms, draws 817, objects 2050, primitives 4714, process 14.70ms, physics 1.68ms
   4.0  frame    fps 111, worst frame 16.7ms, draws 515, objects 1529, primitives 3700, process 14.02ms, physics 2.47ms
   4.5  path     onto the corridor at (84,89), after 4.5s off it
   5.0  frame    fps 91, worst frame 13.6ms, draws 633, objects 1746, primitives 4104, process 14.83ms, physics 2.17ms
   5.2  cross    stepped into the road at (86,89), at a signalled crossing
   5.2  crowd    a car sounded its horn at her in the road at (86,89) | exc 2, in 3.1/s (crowd 3.1, events 0.0), sleep 2
   5.7  crowd    a car sounded its horn at her in the road at (87,89) | exc 7, in 25.6/s (crowd 25.6, events 0.0), sleep 2
   5.9  cue      the mark over her head: soon for 0.6s (0.6s of it on the road) | a car, and she is in the road
   6.0  frame    fps 78, worst frame 18.8ms, draws 735, objects 1855, primitives 4373, process 16.31ms, physics 2.55ms
   7.0  frame    fps 65, worst frame 15.3ms, draws 576, objects 1522, primitives 3785, process 17.65ms, physics 2.46ms
   8.0  frame    fps 79, worst frame 16.6ms, draws 524, objects 1468, primitives 3656, process 16.34ms, physics 2.03ms
   9.1  frame    fps 79, worst frame 15.9ms, draws 507, objects 1453, primitives 3491, process 16.80ms, physics 2.18ms
   9.4  near     leaf_blower at (104,89), 200px, exc 16, in 0.0/s (crowd 0.0, events 0.0), sleep 4
  10.1  cross    stepped into the road at (100,89), at a zebra
  10.1  frame    fps 86, worst frame 17.1ms, draws 475, objects 1432, primitives 3182, process 16.24ms, physics 2.13ms
  10.5  near     leaf_blower at (104,89), 109px, exc 19, in 14.9/s (crowd 0.0, events 14.8), sleep 4
  10.8  path     off the corridor at (102,89), after 6.3s on it
  10.8  near     cafe_tables at (103,91), 63px, exc 22, in 14.3/s (crowd 0.0, events 14.1), sleep 5
  11.0  near     leaf_blower at (104,89), 59px, exc 24, in 14.3/s (crowd 0.0, events 14.1), sleep 5
  11.1  frame    fps 77, worst frame 17.0ms, draws 577, objects 1656, primitives 3606, process 16.65ms, physics 2.45ms
  11.4  near     leaf_blower at (104,89), 31px, exc 26, in 8.7/s (crowd 0.0, events 8.5), sleep 5
  11.4  near     delivery_van at (108,88), 149px, exc 26, in 7.8/s (crowd 0.0, events 7.7), sleep 5
  12.1  frame    fps 60, worst frame 17.5ms, draws 553, objects 1606, primitives 3506, process 15.41ms, physics 2.46ms
  12.6  blocked  pressed 90° for 1.0s at (104,89) without moving
  13.1  frame    fps 73, worst frame 16.9ms, draws 556, objects 1611, primitives 3540, process 16.63ms, physics 2.12ms
  13.7  freeze   sleep stopped filling | exc 35, in 19.3/s (crowd 0.0, events 19.3), sleep 6 | near: leaf_blower 25px
  14.1  frame    fps 81, worst frame 13.3ms, draws 557, objects 1662, primitives 3642, process 15.12ms, physics 1.99ms
  15.1  frame    fps 84, worst frame 12.4ms, draws 560, objects 1663, primitives 3668, process 15.53ms, physics 2.18ms
  15.6  blocked  pressed 90° for 4.0s at (104,89) without moving
  16.1  frame    fps 86, worst frame 14.8ms, draws 557, objects 1658, primitives 3634, process 14.85ms, physics 2.01ms
  17.1  frame    fps 86, worst frame 13.4ms, draws 557, objects 1660, primitives 3638, process 15.44ms, physics 2.10ms
  18.1  frame    fps 85, worst frame 13.1ms, draws 557, objects 1662, primitives 3642, process 15.50ms, physics 1.92ms
  18.6  blocked  pressed 90° for 7.0s at (104,89) without moving
  19.1  frame    fps 86, worst frame 13.4ms, draws 554, objects 1657, primitives 3608, process 15.18ms, physics 2.04ms
