nappy run log  2026-09-12T14:32:05  version v0.8.2-764-g28fe845

day 1  act 1  run seed 1489549101  city seed 1489549101  length 180.0s
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 1]
   0.0  plan     closed: roadworks v(2,9)
   0.0  plan     calm: 2 forest, 3 courtyard, 3 park
   0.0  plan     events: alley_mouse x4, burst_water_main x17, cafe_tables x69, car_accident x26, cat_dash x8, chatting_mother x2, delivery_van x62, dog_walker x21, fallen_tree x4, homeless_yeller x11, leaf_blower x18, loose_dog x13, market_stall x59, moving_van x39, pigeon_flock x5, playground x3, scaffolding x24, skip x20
   0.0  start    doorstep (80,84), facing 180°
   1.9  path     onto the corridor at (75,85), after 1.9s off it
   2.6  crowd    a car sounded its horn at her in the road at (73,85) | exc 0, in 0.7/s (crowd 0.7, events 0.0), sleep 1
   2.7  cross    stepped into the road at (73,85), at a zebra
   3.4  cue      the mark over her head: soon for 0.7s (0.7s of it on the road) | a car, and she is in the road
   4.0  path     off the corridor at (70,86), after 2.1s on it
   4.0  cross    stepped into the road at (70,86), at a zebra
   4.8  path     onto the corridor at (69,88), after 0.8s off it
   6.9  crowd    walked into somebody at (64,89) | exc 2, in 4.2/s (crowd 22.2, events 0.0), sleep 3
   7.9  path     off the corridor at (61,89), after 3.1s on it
   8.7  cross    stepped into the road at (59,90), mid-block
   9.0  near     car_accident at (59,94), 119px, exc 6, in 0.0/s (crowd 0.0, events 0.0), sleep 4
   9.7  near     car_accident at (59,94), 65px, exc 3, in 0.0/s (crowd 0.0, events 0.0), sleep 4
  11.1  turn     doubled back 0°
  12.6  cross    stepped into the road at (60,87), at a zebra
  13.3  near     cafe_tables at (62,85), 63px, exc 0, in 3.5/s (crowd 2.9, events 0.4), sleep 5
  13.3  path     onto the corridor at (60,85), after 5.4s off it
  14.3  cross    stepped into the road at (59,84), at a zebra
  14.6  ahead    pigeon_flock crosses 184px in front of her at (59,84)
  15.9  near     pigeon_flock (telegraph) at (50,84), 165px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 6
  16.1  near     delivery_van at (51,88), 150px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 7
  16.7  cross    stepped into the road at (53,86), mid-block
  17.0  near     delivery_van at (51,88), 81px, exc 2, in 4.6/s (crowd 0.0, events 4.4), sleep 7
  17.3  near     pigeon_flock at (50,84), 91px, exc 3, in 10.9/s (crowd 0.0, events 11.1), sleep 7
  18.8  path     off the corridor at (47,86), after 5.5s on it
  20.2  road     3.5s on the road (2.9s of it carriageway), (53,86) -> (43,86)
  20.9  path     away from the corridor at (41,86), after 2.1s off it
  20.9  calm     entered forest (1,5), sleep 9
  28.8  ahead    cat_dash crosses 332px in front of her at (24,88)
  31.3  calm     settled in the calm block (1,5); tomorrow will know
  31.3  asleep   asleep after 31.3s, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  37.8  path     off the corridor at (42,90), after 16.8s away it
  37.8  left     left industrial (3,6), sleep 100
  38.6  cross    stepped into the road at (44,89), at a zebra
  39.6  near     delivery_van at (51,88), 149px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  40.0  path     onto the corridor at (48,89), after 2.2s off it
  40.5  near     delivery_van at (51,88), 81px, exc 0, in 0.3/s (crowd 0.6, events 0.0), sleep 100
  41.0  near     delivery_van at (51,88), 44px, exc 0, in 0.0/s (crowd 0.0, events 0.0), sleep 100
  42.5  ahead    loose_dog comes at her from 0px in front of her at (54,89)
  42.8  path     off the corridor at (56,89), after 2.8s on it
  43.5  near     loose_dog (telegraph) at (62,89), 139px, exc 0, in 3.4/s (crowd 3.6, events 2.7), sleep 100
  43.5  cross    stepped into the road at (58,89), at a zebra
  43.8  near     loose_dog (telegraph) at (61,89), 75px, exc 0, in 4.5/s (crowd 3.9, events 4.3), sleep 100
  43.9  near     loose_dog (telegraph) at (60,89), 39px, exc 0, in 4.1/s (crowd 3.6, events 3.9), sleep 100
  44.0  near     loose_dog (telegraph) at (59,89), 20px, exc 0, in 4.9/s (crowd 5.6, events 3.4), sleep 100
  44.8  cross    stepped into the road at (61,87), at a zebra
  45.2  path     onto the corridor at (62,87), after 2.4s off it
  45.8  near     cafe_tables at (62,85), 64px, exc 0, in 1.5/s (crowd 2.4, events 0.4), sleep 100
  46.4  crowd    walked into somebody at (64,85) (+1 in the last 39.5s) | exc 0, in 4.0/s (crowd 25.4, events 0.0), sleep 100
  48.5  crowd    walked into somebody at (70,85) | exc 0, in 4.5/s (crowd 26.2, events 0.0), sleep 100
  49.0  cross    stepped into the road at (72,85), at a zebra
  49.0  crowd    a car sounded its horn at her in the road at (72,85) | exc 5, in 3.6/s (crowd 6.6, events 0.0), sleep 100
  49.6  cue      the mark over her head: soon for 0.7s (0.6s of it on the road) | a car, and she is in the road
  50.3  path     off the corridor at (76,85), after 5.1s on it
  52.1  path     53% of her street time on the corridor (18.7s on, 16.5s off, 16.8s off the streets)
  52.1  home     WON, 127.9s to spare

day 2  act 1  run seed 1489549101  city seed 1489549101  length 180.0s
   0.0  plan     regions: 0 boundary, 0 wall, 0 door, calm by region: [1, 1, 1, 1]
   0.0  roll     ice_cream_van, leaf_blower, cafe_tables, ice_cream_van, cafe_tables, leaf_blower, ice_cream_van, ice_cream_van, leaf_blower in the park she used yesterday, (1,5)
